Country,World,United States,China,Russia,Germany,India
2010,9558.485597167313,48466.657602692176,4550.453107755993,10674.9957825675,41531.93419786886,1357.5637268317962
2011,10492.803957166207,49882.558132149505,5618.132267114913,14311.0843159612,46644.77602796796,1458.1040661962638
2012,10608.951875869732,51602.9310457907,6316.918317602159,15420.8745413273,43858.363055107635,1443.882434761809
2013,10785.97094902948,53106.53676721651,7050.646271242866,15974.6446270517,46285.76406884068,1449.6104506963195
2014,10954.736202716847,55049.98832723122,7678.59948587722,14095.648742954,47959.993273759865,1573.8856418301398
2015,10251.099048968827,56863.37149576518,8066.94263493206,9313.01362484996,41086.72967372527,1605.6054445704508
2016,10292.600173341896,58021.400499712516,8147.937705493848,8704.89841329594,42107.5172703074,1732.554242316974
2017,10829.974938210262,60109.65572604766,8879.438667114526,10720.3326583505,44442.77183975774,1980.6670198281274
2018,11372.247818566295,63064.4184096731,9976.677137262996,11287.3552780815,47787.16050744473,1996.9150873975527
2019,11417.155023531626,65279.52902609528,10216.630334103127,11497.6492498593,46467.51620238558,2100.7514606078325
2020,10925.72785014858,63543.57778872398,10500.395615963704,10126.7217935297,45723.644103932835,1900.7068097152799
